"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","ウェブサイト","所在地","正式名称","略称","設立年月日","英語名称","組織形態","前身","法人番号","所長","上位組織","人数","所管","本部所在地","予算","設置者","設立","研究科","学校種別"
"オーバーヴォルファッハ数学研究所","[オーバーヴォルファッハ数学研究所] 1991年 1月28日 に メルセデス・ベンツ 社より送られた「ボーイ曲面」の象徴的な 像 が研究所の前に設置された。","https://ja.wikipedia.org/wiki/オーバーヴォルファッハ数学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","http://www.mfo.de/","ドイツ","Mathematisches Forschungsinstitut Oberwolfach","","","Mathematical Research Institute of Oberwolfach","","","","","","","","","","","","",""
"重イオン研究所","[重イオン研究所] 高エネルギー加速器 による学術研究、 重イオン ビームを用いた 癌治療 に関する研究が主に行われている。研究所は 連邦政府 、 ヘッセン州 および EU から拠出される資金により運営されている。研究所の 株主 はドイツ連邦共和国が90％、ヘッセン州が10％となっている。","https://ja.wikipedia.org/wiki/重イオン研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯49度55分53秒 東経8度40分45秒","","","","","","","","","","","","","","","","","","",""
"ドイツ電子シンクロトロン","[ドイツ電子シンクロトロン] ドイツ電子シンクロトロン （ドイツでんしシンクロトロン、Deutsches Elektronen-Synchrotron；DESY）とは、1959年に ハンブルク に創立された、高エネルギー 加速器 ・ 高エネルギー物理学 の 研究所 である。 電子 ・ 陽電子 円形加速器 のDORISおよびPETRA、電子・ 陽子 円形加速器の HERA （2007年閉鎖）を建設した。正式名は、 ヘルムホルツ協会 ドイツ電子シンクロトロン（Deutsches Elektronen-Synchrotron in der Helmholtz-Gemeinschaft）である。","https://ja.wikipedia.org/wiki/ドイツ電子シンクロトロン","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","http://www.desy.de/","","Deutsches Elektronen-Synchrotron","DESY","","","","","","","","","","","","","","",""
"ドイツ日本研究所 (存在しないページ)","[ドイツ日本研究所]","https://ja.wikipedia.org/w/index.php?title=ドイツ日本研究所&amp;action=edit&amp;redlink=1","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ドイツ東洋文化研究協会","[ドイツ東洋文化研究協会] 公益財団法人オーアーゲー・ドイツ東洋文化研究協会 ((おーあーげー・どいつとうようぶんかけんきゅうきょうかい)(Deutsche Gesellschaft für Natur- und Völkerkunde Ostasiens) (通称: O st a sien g esellschaft=東洋文化協会、オーアーゲー、OAG) は、科学者、実業家、外交官によって1873年東京に設立された組織である  。その1年前に設立された 日本アジア協会 と共に、現在も活動している日本にある海外学術協会としては最も古い。","https://ja.wikipedia.org/wiki/ドイツ東洋文化研究協会","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"フラウンホーファー協会","[フラウンホーファー協会] 傘下の各 研究所 は科学の様々な応用を研究テーマとしている（ マックス・プランク研究所 は基礎研究中心である点が異なる）。29,000人以上のスタッフを抱え、年間研究予算総額は28億 ユーロ 超である。そのうち委託研究による予算は24億ユーロ。その30％弱はドイツ連邦政府および各連邦州から拠出されているが、残り70％以上は企業からの委託や公的財源の研究プロジェクトによる  。","https://ja.wikipedia.org/wiki/フラウンホーファー協会","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"フリッツ・ハーバー研究所","[フリッツ・ハーバー研究所] フリッツ・ハーバー研究所 （フリッツ・ハーバーけんきゅうしょ、Fritz-Haber-Institut der Max-Planck-Gesellschaft）は マックス・プランク協会 傘下の ベルリン に位置する 学術研究機関 である。 1911年 に創立された カイザー・ヴィルヘルム物理化学研究所 を前身としており、 1953年 にマックス・プランク協会の所属となった際に初代所長である フリッツ・ハーバー にちなんで現在の名称に変更された。","https://ja.wikipedia.org/wiki/フリッツ・ハーバー研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","http://www.fhi-berlin.mpg.de/","ドイツ","Fritz-Haber-Institut der Max-Planck-Gesellschaft","FHI","","","","","","","","","","","","","","",""
"マックス・プランク研究所","[マックス・プランク研究所] 前身のカイザー・ヴィルヘルム協会時代には アインシュタイン がベルリン・カイザー・ヴィルヘルム化学・物理学研究所の所長を務めていた。","https://ja.wikipedia.org/wiki/マックス・プランク研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"マックス・プランク進化人類学研究所","[マックス・プランク進化人類学研究所] マックス・プランク進化人類学研究所 （Max Planck Institute for Evolutionary Anthropology, Max-Planck-Institut für evolutionäre Anthropologie）は マックス・プランク研究所 のうちの1つ。","https://ja.wikipedia.org/wiki/マックス・プランク進化人類学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"マックス・プランク地球外物理学研究所","[マックス・プランク地球外物理学研究所] 1991年 にマックス・プランク物理学・天体物理学研究所がマックス・プランク地球外物理学研究所、 マックス・プランク物理学研究所 、 マックス・プランク天文学研究所 に改組された。マックス・プランク宇宙物理学研究所は、 1963年 にサブ研究所として設立された。研究活動は、主に軌道上の 宇宙望遠鏡 を用いて、 銀河系 やその他の宇宙に存在する ブラックホール の観測が行われている。また、軌道上の X線望遠鏡 である ROSAT の運営、保守を行っている。","https://ja.wikipedia.org/wiki/マックス・プランク地球外物理学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯48度15分42秒 東経11度40分18秒","http://www.mpe.mpg.de","ドイツ","Max-Planck-Institut für extraterrestrische Physik","MPE","","Max Planck Institute for Extraterrestrial Physics","","","","","","","","","","","","",""
"マックス・プランク知的財産法・競争法・租税法研究所","[マックス・プランク知的財産法・競争法・租税法研究所] 本研究所は、知的財産及び競争法、会計及び税制、民法及び商法一般を研究対象としている。このうち、知的財産及び競争法の分野は、地理的に6ユニット、主題によって7ユニットに分けられる。会計及び税制、民法及び商法一般の各分野は、主題によってそれぞれ4ユニットに分けられている。","https://ja.wikipedia.org/wiki/マックス・プランク知的財産法・競争法・租税法研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ライプツィヒ・ドイツ文学研究所","[ライプツィヒ・ドイツ文学研究所] SED 中央委員会の書記長による決議で、 1955年 に ライプツィヒ で文学研究所が「イデオロギー的・芸術的な作家教育を促進する」という目的で創設された  。同研究所は、 1958年 に専門大学（Hochschule）扱いとなり、 1959年 には ヨハネス・R・ベッヒャー （ベッヒャーは東ドイツの文化相を務め、 東ドイツ国歌 の作詞者でもあった）の名前を与えられた。研究所での教育は、若い作家たちの興味関心と結びついていた。詩歌、散文、劇作のゼミナールが、教育の中心であった。また、精神的な地平を拡大して、創作意欲を刺激するために次のような講義も行われていた。ドイツ文学、世界文学、ソビエト文学、文化学、スタイル学、文学批評、芸術・音楽史、全ての 東ドイツ の専門大学で必修だった マルクス・レーニン主義 の授業などである。","https://ja.wikipedia.org/wiki/ライプツィヒ・ドイツ文学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"連邦軍微生物学研究所","[連邦軍微生物学研究所] 連邦軍微生物学研究所 （れんぽうぐんびせいぶつがくけんきゅうじょ、 ドイツ語 ： Institut für Mikrobiologie der Bundeswehr 、 略称 ： InstMikroBioBw ）は、 救護業務軍 連邦軍衛生局 に所属する 生物兵器 に関する研究機関。 バイエルン州 ミュンヘン に所在している。生物兵器に関する専門知識について良好な国際評価を得ている。","https://ja.wikipedia.org/wiki/連邦軍微生物学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"連邦軍放射線生物学研究所","[連邦軍放射線生物学研究所] 連邦軍放射線生物学研究所 （れんぽうぐんほうしゃせんせいぶつがくけんきゅうじょ、 ドイツ語 ： Institut für Radiobiologie der Bundeswehr 、 略称 ： InstRadBioBw ）は、 救護業務軍 連邦軍衛生局 に所属する 核兵器 に関連する 放射線医学 （ シンチグラフィ ）の研究機関。 バイエルン州 ミュンヘン に所在している。核兵器に由来する放射線疫学に関連する専門知識について良好な国際評価を得ている。","https://ja.wikipedia.org/wiki/連邦軍放射線生物学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"連邦軍薬理学・毒物学研究所","[連邦軍薬理学・毒物学研究所] 連邦軍薬理学・毒物学研究所 （れんぽうぐんやくりがくどくぶつけんきゅうじょ、 ドイツ語 ： Institut für Pharmakologie und Toxikologie der Bundeswehr 、 略称 ： InstPharmToxBw ）は、 救護業務軍 連邦軍衛生局 に所属する 化学兵器 に関する研究機関。 バイエルン州 ミュンヘン に所在している。化学兵器に関する専門知識について良好な国際評価を得ている。","https://ja.wikipedia.org/wiki/連邦軍薬理学・毒物学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ロベルト・コッホ研究所","[ロベルト・コッホ研究所] 1891年 に、 ロベルト・コッホ によって王立プロイセン感染症研究所として設立された。","https://ja.wikipedia.org/wiki/ロベルト・コッホ研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
