# 20万分の1日本シームレス地質図V2
"RGB","comment"
"0829e1","[Tr22-J31_mrls_hlb] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 大理石 高P/T型広域変成岩　ローソン石青色片岩亜相"
"082ae1","[D3-P1_mrls_hlb] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 大理石 高P/T型広域変成岩　ローソン石青色片岩亜相"
"082be1","[K122-Pg12_mscca_hc] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩 高P/T型広域変成岩　緑泥石帯"
"082ce1","[K112-121_mscca_hc] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 石灰質片岩 高P/T型広域変成岩　緑泥石帯"
"082de1","[Tr22-J31_mscca_hc] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 石灰質片岩 高P/T型広域変成岩　緑泥石帯"
"082ee1","[D3-P1_mscca_hc] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 石灰質片岩 高P/T型広域変成岩　緑泥石帯"
"082fe1","[Ca-O_mscca_hc] 古生代 カンブリア紀〜オルドビス紀, 石灰質片岩 高P/T型広域変成岩　緑泥石帯"
"0830e1","[K122-Pg12_mscca_hg] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩 高P/T型広域変成岩　ざくろ石帯"
"0831e1","[K112-121_mscca_hg] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 石灰質片岩 高P/T型広域変成岩　ざくろ石帯"
"0832e1","[Tr22-J31_mscca_hg] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 石灰質片岩 高P/T型広域変成岩　ざくろ石帯"
"0833e1","[D3-P1_mscca_hg] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 石灰質片岩 高P/T型広域変成岩　ざくろ石帯"
"0834e1","[Ca-O_mscca_hg] 古生代 カンブリア紀〜オルドビス紀, 石灰質片岩 高P/T型広域変成岩　ざくろ石帯"
"0835e1","[K122-Pg12_mscca_hab] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩 高P/T型広域変成岩　アルバイト黒雲母帯"
"0836e1","[D3-P1_mscca_hab] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 石灰質片岩 高P/T型広域変成岩　アルバイト黒雲母帯"
"0837e1","[K122-Pg12_mscca_hob] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯"
"0838e1","[K11-121_mscca_hlb] 中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 石灰質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"0839e1","[Tr22-J31_mscca_hlb] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 石灰質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"083ae1","[D3-P1_mscca_hlb] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 石灰質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"083be1","[K122-Pg12_mscca_ham] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩 高P/T型広域変成岩　角閃岩相"
"083ce1","[K112-121_mscca_ham] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 石灰質片岩 高P/T型広域変成岩　角閃岩相"
"083de1","[Tr22-J31_mscca_ham] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 石灰質片岩 高P/T型広域変成岩　角閃岩相"
"083ee1","[D3-P1_mscca_ham] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 石灰質片岩 高P/T型広域変成岩　角閃岩相"
"083fe1","[Ca-O_mscca_ham] 古生代 カンブリア紀〜オルドビス紀, 石灰質片岩 高P/T型広域変成岩　角閃岩相"
"08406c","[D3-P1_mrga_hg] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成斑れい岩 高P/T型広域変成岩　ざくろ石帯"
"0840e1","[K122-Pg12_mscca_hag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"0841e1","[K112-121_mscca_hag] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 石灰質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"0842e1","[Tr22-J31_mscca_hag] 中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 石灰質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"0843e1","[D3-P1_mscca_hag] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 石灰質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"0844e1","[Ca-O_mscca_hag] 古生代 カンブリア紀〜オルドビス紀, 石灰質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"0845e1","[K122-Pg12_mscca_hec] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石"
"0846e1","[D3-P1_mscca_hec] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 石灰質片岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石"
"0847e1","[K122-Pg12_msnca_ham] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 高P/T型広域変成岩　角閃岩相"
"0848e1","[K112-121_msnca_ham] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 石灰質片岩・石灰質グラノフェルス・石灰質片麻岩 高P/T型広域変成岩　角閃岩相"
